Bairro;Regiao;Latitude;Longitude
Bangu;Zona Oeste;-22.8756;-43.4658
Barra da Tijuca;Zona Oeste;-23.0045;-43.3654
Botafogo;Zona Sul;-22.9519;-43.1823
Campo Grande;Zona Oeste;-22.9058;-43.5606
Catete;Zona Sul;-22.9264;-43.1772
Centro;Centro;-22.9068;-43.1729
Copacabana;Zona Sul;-22.9711;-43.1822
Glória;Centro;-22.9186;-43.1756
Gávea;Zona Sul;-22.9770;-43.2334
Ipanema;Zona Sul;-22.9838;-43.2047
Jardim Botânico;Zona Sul;-22.9678;-43.2231
Lapa;Centro;-22.9132;-43.1795
Laranjeiras;Zona Sul;-22.9346;-43.1857
Leblon;Zona Sul;-22.9838;-43.2223
Madureira;Zona Norte;-22.8730;-43.3400
Méier;Zona Norte;-22.9022;-43.2789
Recreio dos Bandeirantes;Zona Oeste;-23.0192;-43.4636
Santa Cruz;Zona Oeste;-22.9186;-43.6858
Santa Teresa;Centro;-22.9349;-43.1878
Sulacap;Zona Oeste;-22.9038;-43.3939
Taquara;Zona Oeste;-22.9226;-43.3653
Tijuca;Zona Norte;-22.9257;-43.2344
Urca;Zona Sul;-22.9492;-43.1656
Vila Isabel;Zona Norte;-22.9186;-43.2464
